track_id,frame_idx,class_id,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,rep_image_x,rep_image_y,world_x,world_y,raw_speed_kmh,smoothed_speed_kmh,affine_corrected_speed_kmh
1,3,3,Car,0.442995548248291,360.3257141113281,281.57049560546875,441.0691223144531,319.3544921875,400.6974182128906,319.3544921875,2.580097198486328,-22.65592384338379,,,
1,4,3,Car,0.5459346175193787,360.37799072265625,281.5851135253906,441.14776611328125,319.3875427246094,400.76287841796875,319.3875427246094,2.582829475402832,-22.645902633666992,0.7478647157549858,0.7478647157549858,5.622612683855467
1,5,3,Car,0.6444119215011597,360.3002624511719,281.6160888671875,441.1838684082031,319.47955322265625,400.7420654296875,319.47955322265625,2.592308521270752,-22.648418426513672,0.7061196863651276,0.7269922010600567,5.614772445523183
1,6,3,Car,0.6935341954231262,360.2550048828125,281.5435791015625,441.1822814941406,319.44573974609375,400.7186279296875,319.44573974609375,2.5891120433807373,-22.652149200439453,0.3537255674600601,0.6025699898600578,5.568036352441184
1,7,3,Car,0.7085912227630615,360.2127990722656,281.53765869140625,441.199951171875,319.4864196777344,400.70635986328125,319.4864196777344,2.5933315753936768,-22.65372085571289,0.32419635728001595,0.5329765817150474,5.5418953285067145
1,8,3,Car,0.7484848499298096,360.1950988769531,281.458251953125,441.2236328125,319.4455261230469,400.7093505859375,319.4455261230469,2.5891761779785156,-22.653539657592773,0.2994729280471802,0.4862758509814739,5.524353366524916
1,9,3,Car,0.7920950055122375,360.1185302734375,281.4382019042969,441.28326416015625,319.51824951171875,400.7008972167969,319.51824951171875,2.596595048904419,-22.654329299926758,0.537175890058279,0.44413808584213255,5.508525368494451
1,10,3,Car,0.7950214743614197,360.0213928222656,281.3758544921875,441.2811279296875,319.5414733886719,400.6512451171875,319.5414733886719,2.599398612976074,-22.66161346435547,0.5619645975530148,0.41530706807971,5.497695717447441
1,11,3,Car,0.7970961332321167,360.0718688964844,281.3679504394531,441.3157043457031,319.5679626464844,400.69378662109375,319.5679626464844,2.6016788482666016,-22.65506935119629,0.498959943652153,0.4443539433181286,5.508606449958872
1,12,3,Car,0.812299370765686,360.3337707519531,281.6499938964844,440.9650573730469,319.54010009765625,400.6494140625,319.54010009765625,2.5992770195007324,-22.661897659301758,0.5211654826998711,0.4837477684020996,5.523403755506038
1,13,3,Car,0.8191922307014465,360.33197021484375,281.6611328125,441.00836181640625,319.5565185546875,400.670166015625,319.5565185546875,2.6007423400878906,-22.658681869506836,0.2544409856200218,0.4747413799166679,5.520020730831198
