track_id,obs_index,frame_idx,class_id,confidence,image_x,image_y,world_x_m,world_y_m,raw_speed_kmh,smoothed_speed_kmh,windowed_raw_speed_kmh,windowed_smoothed_speed_kmh,final_filtered_speed_kmh,final_display_speed_kmh
1,0,0,3,0.9141390323638916,763.903076171875,208.38333129882812,0.7910272479057312,-13.447440147399902,,,,,,
1,1,1,3,0.9141390323638916,750.6214599609375,208.18377685546875,0.8053677678108215,-13.15009593963623,32.118382749262146,32.118382749262146,,,,
1,2,2,3,0.9141390323638916,737.84716796875,208.4749755859375,0.8047904372215271,-12.858128547668457,31.50103844843663,31.80971059884939,,,,
1,3,3,3,0.9141390323638916,724.59033203125,209.10772705078125,0.7940414547920227,-12.54873275756836,33.40150223864423,32.34030781211433,,,,
1,4,4,3,0.9141390323638916,711.9149169921875,209.32171630859375,0.7956612706184387,-12.24661922454834,32.59613535382769,32.40426469754267,,,,
1,5,5,3,0.9141390323638916,698.5274658203125,209.40342712402344,0.8019298315048218,-11.92064094543457,35.17698527096987,32.95880881222811,32.94675800350163,32.94675800350163,,
1,6,6,3,0.9141390323638916,685.9495849609375,210.18441772460938,0.7856520414352417,-11.607714653015137,33.80792362468464,33.296716987312614,33.28487260953768,33.11581530651965,,
1,7,7,3,0.9141390323638916,673.16259765625,210.28802490234375,0.7908416986465454,-11.282754898071289,35.065065611611594,34.0095224199476,33.995409230966786,33.40901328133536,,
1,8,8,3,0.9141390323638916,660.5911254882812,210.40716552734375,0.7954955697059631,-10.956338882446289,35.22129075510518,34.373480123239794,34.361361790370275,33.64710040859409,,
1,9,9,3,0.9141390323638916,649.0911865234375,210.82778930664062,0.7896607518196106,-10.651533126831055,32.89216119688112,34.43268529185048,34.41968464351201,33.801617255577675,33.801617255577675,33.801617255577675
1,10,10,3,0.9141390323638916,635.418701171875,210.7034912109375,0.8032122850418091,-10.281166076660156,39.98642129736108,35.39457249712872,35.37729017503493,34.28772368988433,34.28772368988433,34.044670472731
1,11,11,3,0.9141390323638916,622.1626586914062,210.53512573242188,0.8182646632194519,-9.913524627685547,39.698842403057455,36.57275625280329,36.564719593608295,34.94369308669845,34.94369308669845,34.34434467738682
1,12,12,3,0.9141390323638916,609.992431640625,211.1934814453125,0.8049127459526062,-9.568320274353027,37.272674220425266,37.01427797456602,36.996038095815315,35.543818859668164,35.543818859668164,34.644213222957156
1,13,13,3,0.9141390323638916,596.0526123046875,211.29959106445312,0.8114426732063293,-9.16357135772705,43.67489867157988,38.704999557860965,38.686623987737114,36.40887129914153,36.40887129914153,34.99714483819403
1,14,14,3,0.9141390323638916,583.5814208984375,211.24658203125,0.8225489258766174,-8.792702674865723,40.03174285907726,40.1329158903002,40.116906237530785,37.548315617945285,37.548315617945285,35.42233996815258
1,15,15,3,0.9141390323638916,570.9105224609375,211.7083740234375,0.8160300254821777,-8.40711498260498,41.60781423528711,40.4571944778854,40.44001119120138,38.560859821178575,38.560859821178575,35.87069994715629
1,16,16,3,0.9141390323638916,557.5364990234375,212.251953125,0.8069888949394226,-7.990182876586914,44.99425933315799,41.5162778639055,41.50339168506664,39.54859423947025,39.54859423947025,36.69169665914095
1,17,17,3,0.9141390323638916,544.77392578125,212.6334228515625,0.8030751347541809,-7.58243465423584,43.99484092300826,42.8607112044221,42.85229512385198,40.71984564507758,40.71984564507758,37.61057122416855
1,18,18,3,0.9141390323638916,531.27734375,212.72438049316406,0.810196042060852,-7.140340805053711,47.70462377207143,43.66665622452041,43.658132105321435,41.714147268594445,41.714147268594445,38.5777789644394
1,19,19,3,0.9141390323638916,518.3413696289062,212.9934539794922,0.8104977607727051,-6.705697059631348,46.89463952204564,45.03923555711408,45.035038127765795,42.697773646641444,42.697773646641444,39.59977250543558
1,20,20,3,0.9141390323638916,506.2459411621094,213.33346557617188,0.8074914813041687,-6.2892656326293945,44.930838085673784,45.703840327191415,45.700216531515366,43.74981471470424,43.74981471470424,40.64847870765883
1,21,21,3,0.9141390323638916,492.55621337890625,213.30950927734375,0.8194447159767151,-5.805798053741455,52.17827831234012,47.14064412302785,47.13634315666024,44.87640500902297,44.87640500902297,41.695348620669925
1,22,22,3,0.9141390323638916,479.32000732421875,213.9261016845703,0.8068238496780396,-5.32559871673584,51.82760936039668,48.70719781050553,48.69902417376325,46.04575081900522,46.04575081900522,42.764618763216596
1,23,23,3,0.9141390323638916,466.24407958984375,213.63877868652344,0.8288006782531738,-4.838402271270752,52.618101641133826,49.68989338431801,49.67382070901511,47.24888853974395,47.24888853974395,43.86466080611284
1,24,24,3,0.9141390323638916,454.0787353515625,213.77264404296875,0.8340211510658264,-4.373240947723389,50.190396480388806,50.34904477598664,50.33327821013216,48.30853655621722,48.30853655621722,44.94875950770422
1,25,25,3,0.9141390323638916,440.28057861328125,214.09201049804688,0.833426296710968,-3.8312015533447266,58.48180497442926,53.05923815373774,53.04409602543453,49.77731245500105,49.77731245500105,46.100640248619435
1,26,26,3,0.9141390323638916,427.20721435546875,214.1880340576172,0.8411957025527954,-3.302877902984619,57.00811306079784,54.02520510342928,54.01110349001585,51.15226452167218,51.15226452167218,47.308424659338115
1,27,27,3,0.9141390323638916,414.319580078125,214.18338012695312,0.8531405329704285,-2.7674002647399902,57.78818411546034,55.21732005444202,55.21092905507578,52.45464549793469,52.45464549793469,48.55197191408532
1,28,28,3,0.9141390323638916,401.0408630371094,214.9221954345703,0.834881067276001,-2.1997921466827393,61.27211478325751,56.94812268286675,56.937195990349984,53.90732055420166,53.90732055420166,49.842102706253705
1,29,29,3,0.9141390323638916,388.28961181640625,215.21673583984375,0.8343367576599121,-1.6389011144638062,60.515741487363954,59.01319168426178,59.002735088397934,55.641211929854805,55.641211929854805,51.21288286494651
